| time | in |load |address|out |
| 38   | aa |  0  |  175  | 55 |
| 38+  | 55 |  1  |  173  | aa |
| 39   | 55 |  1  |  173  | 55 |
| 39+  | aa |  1  |  174  | 55 |
| 40   | aa |  1  |  174  | aa |
| 40+  | aa |  0  |  168  | 55 |
| 41   | aa |  0  |  168  | 55 |
| 41   | aa |  0  |  169  | 55 |
| 41   | aa |  0  |  170  | 55 |
| 41   | aa |  0  |  171  | 55 |
| 41   | aa |  0  |  172  | 55 |
| 41   | aa |  0  |  173  | 55 |
| 41   | aa |  0  |  174  | aa |
| 41   | aa |  0  |  175  | 55 |
| 41+  | 55 |  1  |  174  | aa |
| 42   | 55 |  1  |  174  | 55 |
| 42+  | aa |  1  |  175  | 55 |
| 43   | aa |  1  |  175  | aa |
| 43+  | aa |  0  |  168  | 55 |
| 44   | aa |  0  |  168  | 55 |
| 44   | aa |  0  |  169  | 55 |
| 44   | aa |  0  |  170  | 55 |
| 44   | aa |  0  |  171  | 55 |
| 44   | aa |  0  |  172  | 55 |
| 44   | aa |  0  |  173  | 55 |
| 44   | aa |  0  |  174  | 55 |
| 44   | aa |  0  |  175  | aa |
| 44+  | 55 |  1  |  175  | aa |
| 45   | 55 |  1  |  175  | 55 |
| 45+  | 55 |  0  |  168  | 55 |
| 46   | 55 |  0  |  168  | 55 |
| 46   | 55 |  0  |  169  | 55 |
| 46   | 55 |  0  |  170  | 55 |
| 46   | 55 |  0  |  171  | 55 |
| 46   | 55 |  0  |  172  | 55 |
| 46   | 55 |  0  |  173  | 55 |
| 46   | 55 |  0  |  174  | 55 |
| 46   | 55 |  0  |  175  | 55 |
| 46+  | 55 |  0  |   42  | 00 |
| 47   | 55 |  0  |   42  | 00 |
| 47   | 55 |  0  |  106  | 00 |
| 47   | 55 |  0  |  170  | 55 |
| 47   | 55 |  0  |  234  | 00 |
| 47   | 55 |  0  |  298  | 00 |
| 47   | 55 |  0  |  362  | 00 |
| 47   | 55 |  0  |  426  | 00 |
| 47   | 55 |  0  |  490  | 00 |
| 47+  | 55 |  1  |   42  | 00 |
| 48   | 55 |  1  |   42  | 55 |
| 48+  | 55 |  1  |  106  | 00 |
| 49   | 55 |  1  |  106  | 55 |
| 49+  | 55 |  1  |  170  | 55 |
| 50   | 55 |  1  |  170  | 55 |
| 50+  | 55 |  1  |  234  | 00 |
| 51   | 55 |  1  |  234  | 55 |
| 51+  | 55 |  1  |  298  | 00 |
| 52   | 55 |  1  |  298  | 55 |
| 52+  | 55 |  1  |  362  | 00 |
| 53   | 55 |  1  |  362  | 55 |
| 53+  | 55 |  1  |  426  | 00 |
| 54   | 55 |  1  |  426  | 55 |
| 54+  | 55 |  1  |  490  | 00 |
| 55   | 55 |  1  |  490  | 55 |
| 55+  | 55 |  0  |   42  | 55 |
| 56   | 55 |  0  |   42  | 55 |
| 56   | 55 |  0  |  106  | 55 |
| 56   | 55 |  0  |  170  | 55 |
| 56   | 55 |  0  |  234  | 55 |
| 56   | 55 |  0  |  298  | 55 |
| 56   | 55 |  0  |  362  | 55 |
| 56   | 55 |  0  |  426  | 55 |
| 56   | 55 |  0  |  490  | 55 |
| 56+  | aa |  1  |   42  | 55 |
| 57   | aa |  1  |   42  | aa |
| 57+  | aa |  0  |   42  | aa |
| 58   | aa |  0  |   42  | aa |
| 58   | aa |  0  |  106  | 55 |
| 58   | aa |  0  |  170  | 55 |
| 58   | aa |  0  |  234  | 55 |
| 58   | aa |  0  |  298  | 55 |
| 58   | aa |  0  |  362  | 55 |
| 58   | aa |  0  |  426  | 55 |
| 58   | aa |  0  |  490  | 55 |
| 58+  | 55 |  1  |   42  | aa |
| 59   | 55 |  1  |   42  | 55 |
| 59+  | aa |  1  |  106  | 55 |
| 60   | aa |  1  |  106  | aa |
| 60+  | aa |  0  |   42  | 55 |
| 61   | aa |  0  |   42  | 55 |
| 61   | aa |  0  |  106  | aa |
| 61   | aa |  0  |  170  | 55 |
| 61   | aa |  0  |  234  | 55 |
| 61   | aa |  0  |  298  | 55 |
| 61   | aa |  0  |  362  | 55 |
| 61   | aa |  0  |  426  | 55 |
| 61   | aa |  0  |  490  | 55 |
| 61+  | 55 |  1  |  106  | aa |
| 62   | 55 |  1  |  106  | 55 |
| 62+  | aa |  1  |  170  | 55 |
| 63   | aa |  1  |  170  | aa |
| 63+  | aa |  0  |   42  | 55 |
| 64   | aa |  0  |   42  | 55 |
| 64   | aa |  0  |  106  | 55 |
| 64   | aa |  0  |  170  | aa |
| 64   | aa |  0  |  234  | 55 |
| 64   | aa |  0  |  298  | 55 |
| 64   | aa |  0  |  362  | 55 |
| 64   | aa |  0  |  426  | 55 |
| 64   | aa |  0  |  490  | 55 |
| 64+  | 55 |  1  |  170  | aa |
| 65   | 55 |  1  |  170  | 55 |
| 65+  | aa |  1  |  234  | 55 |
| 66   | aa |  1  |  234  | aa |
| 66+  | aa |  0  |   42  | 55 |
| 67   | aa |  0  |   42  | 55 |
| 67   | aa |  0  |  106  | 55 |
| 67   | aa |  0  |  170  | 55 |
| 67   | aa |  0  |  234  | aa |
| 67   | aa |  0  |  298  | 55 |
| 67   | aa |  0  |  362  | 55 |
| 67   | aa |  0  |  426  | 55 |
| 67   | aa |  0  |  490  | 55 |
| 67+  | 55 |  1  |  234  | aa |
| 68   | 55 |  1  |  234  | 55 |
| 68+  | aa |  1  |  298  | 55 |
| 69   | aa |  1  |  298  | aa |
| 69+  | aa |  0  |   42  | 55 |
| 70   | aa |  0  |   42  | 55 |
| 70   | aa |  0  |  106  | 55 |
| 70   | aa |  0  |  170  | 55 |
| 70   | aa |  0  |  234  | 55 |
| 70   | aa |  0  |  298  | aa |
| 70   | aa |  0  |  362  | 55 |
| 70   | aa |  0  |  426  | 55 |
| 70   | aa |  0  |  490  | 55 |
| 70+  | 55 |  1  |  298  | aa |
| 71   | 55 |  1  |  298  | 55 |
| 71+  | aa |  1  |  362  | 55 |
| 72   | aa |  1  |  362  | aa |
| 72+  | aa |  0  |   42  | 55 |
| 73   | aa |  0  |   42  | 55 |
| 73   | aa |  0  |  106  | 55 |
| 73   | aa |  0  |  170  | 55 |
| 73   | aa |  0  |  234  | 55 |
| 73   | aa |  0  |  298  | 55 |
| 73   | aa |  0  |  362  | aa |
| 73   | aa |  0  |  426  | 55 |
| 73   | aa |  0  |  490  | 55 |
| 73+  | 55 |  1  |  362  | aa |
| 74   | 55 |  1  |  362  | 55 |
| 74+  | aa |  1  |  426  | 55 |
| 75   | aa |  1  |  426  | aa |
| 75+  | aa |  0  |   42  | 55 |
| 76   | aa |  0  |   42  | 55 |
| 76   | aa |  0  |  106  | 55 |
| 76   | aa |  0  |  170  | 55 |
| 76   | aa |  0  |  234  | 55 |
| 76   | aa |  0  |  298  | 55 |
| 76   | aa |  0  |  362  | 55 |
| 76   | aa |  0  |  426  | aa |
| 76   | aa |  0  |  490  | 55 |
| 76+  | 55 |  1  |  426  | aa |
| 77   | 55 |  1  |  426  | 55 |
| 77+  | aa |  1  |  490  | 55 |
| 78   | aa |  1  |  490  | aa |
| 78+  | aa |  0  |   42  | 55 |
| 79   | aa |  0  |   42  | 55 |
| 79   | aa |  0  |  106  | 55 |
| 79   | aa |  0  |  170  | 55 |
| 79   | aa |  0  |  234  | 55 |
| 79   | aa |  0  |  298  | 55 |
| 79   | aa |  0  |  362  | 55 |
| 79   | aa |  0  |  426  | 55 |
| 79   | aa |  0  |  490  | aa |
| 79+  | 55 |  1  |  490  | aa |
| 80   | 55 |  1  |  490  | 55 |
| 80+  | 55 |  0  |   42  | 55 |
| 81   | 55 |  0  |   42  | 55 |
| 81   | 55 |  0  |  106  | 55 |
| 81   | 55 |  0  |  170  | 55 |
| 81   | 55 |  0  |  234  | 55 |
| 81   | 55 |  0  |  298  | 55 |
| 81   | 55 |  0  |  362  | 55 |
| 81   | 55 |  0  |  426  | 55 |
| 81   | 55 |  0  |  490  | 55 |
