| time | in |load | address |out |
| 38   | aa |  0  |  10921  | 55 |
| 38   | aa |  0  |  10922  | 55 |
| 38   | aa |  0  |  10923  | 55 |
| 38   | aa |  0  |  10924  | 55 |
| 38   | aa |  0  |  10925  | aa |
| 38   | aa |  0  |  10926  | 55 |
| 38   | aa |  0  |  10927  | 55 |
| 38+  | 55 |  1  |  10925  | aa |
| 39   | 55 |  1  |  10925  | 55 |
| 39+  | aa |  1  |  10926  | 55 |
| 40   | aa |  1  |  10926  | aa |
| 40+  | aa |  0  |  10920  | 55 |
| 41   | aa |  0  |  10920  | 55 |
| 41   | aa |  0  |  10921  | 55 |
| 41   | aa |  0  |  10922  | 55 |
| 41   | aa |  0  |  10923  | 55 |
| 41   | aa |  0  |  10924  | 55 |
| 41   | aa |  0  |  10925  | 55 |
| 41   | aa |  0  |  10926  | aa |
| 41   | aa |  0  |  10927  | 55 |
| 41+  | 55 |  1  |  10926  | aa |
| 42   | 55 |  1  |  10926  | 55 |
| 42+  | aa |  1  |  10927  | 55 |
| 43   | aa |  1  |  10927  | aa |
| 43+  | aa |  0  |  10920  | 55 |
| 44   | aa |  0  |  10920  | 55 |
| 44   | aa |  0  |  10921  | 55 |
| 44   | aa |  0  |  10922  | 55 |
| 44   | aa |  0  |  10923  | 55 |
| 44   | aa |  0  |  10924  | 55 |
| 44   | aa |  0  |  10925  | 55 |
| 44   | aa |  0  |  10926  | 55 |
| 44   | aa |  0  |  10927  | aa |
| 44+  | 55 |  1  |  10927  | aa |
| 45   | 55 |  1  |  10927  | 55 |
| 45+  | 55 |  0  |  10920  | 55 |
| 46   | 55 |  0  |  10920  | 55 |
| 46   | 55 |  0  |  10921  | 55 |
| 46   | 55 |  0  |  10922  | 55 |
| 46   | 55 |  0  |  10923  | 55 |
| 46   | 55 |  0  |  10924  | 55 |
| 46   | 55 |  0  |  10925  | 55 |
| 46   | 55 |  0  |  10926  | 55 |
| 46   | 55 |  0  |  10927  | 55 |
| 46+  | 55 |  0  |   1365  | 00 |
| 47   | 55 |  0  |   1365  | 00 |
| 47   | 55 |  0  |   3413  | 00 |
| 47   | 55 |  0  |   5461  | 00 |
| 47   | 55 |  0  |   7509  | 00 |
| 47   | 55 |  0  |   9557  | 00 |
| 47   | 55 |  0  |  11605  | 00 |
| 47   | 55 |  0  |  13653  | 00 |
| 47   | 55 |  0  |  15701  | 00 |
| 47+  | 55 |  1  |   1365  | 00 |
| 48   | 55 |  1  |   1365  | 55 |
| 48+  | 55 |  1  |   3413  | 00 |
| 49   | 55 |  1  |   3413  | 55 |
| 49+  | 55 |  1  |   5461  | 00 |
| 50   | 55 |  1  |   5461  | 55 |
| 50+  | 55 |  1  |   7509  | 00 |
| 51   | 55 |  1  |   7509  | 55 |
| 51+  | 55 |  1  |   9557  | 00 |
| 52   | 55 |  1  |   9557  | 55 |
| 52+  | 55 |  1  |  11605  | 00 |
| 53   | 55 |  1  |  11605  | 55 |
| 53+  | 55 |  1  |  13653  | 00 |
| 54   | 55 |  1  |  13653  | 55 |
| 54+  | 55 |  1  |  15701  | 00 |
| 55   | 55 |  1  |  15701  | 55 |
| 55+  | 55 |  0  |   1365  | 55 |
| 56   | 55 |  0  |   1365  | 55 |
| 56   | 55 |  0  |   3413  | 55 |
| 56   | 55 |  0  |   5461  | 55 |
| 56   | 55 |  0  |   7509  | 55 |
| 56   | 55 |  0  |   9557  | 55 |
| 56   | 55 |  0  |  11605  | 55 |
| 56   | 55 |  0  |  13653  | 55 |
| 56   | 55 |  0  |  15701  | 55 |
| 56+  | aa |  1  |   1365  | 55 |
| 57   | aa |  1  |   1365  | aa |
| 57+  | aa |  0  |   1365  | aa |
| 58   | aa |  0  |   1365  | aa |
| 58   | aa |  0  |   3413  | 55 |
| 58   | aa |  0  |   5461  | 55 |
| 58   | aa |  0  |   7509  | 55 |
| 58   | aa |  0  |   9557  | 55 |
| 58   | aa |  0  |  11605  | 55 |
| 58   | aa |  0  |  13653  | 55 |
| 58   | aa |  0  |  15701  | 55 |
| 58+  | 55 |  1  |   1365  | aa |
| 59   | 55 |  1  |   1365  | 55 |
| 59+  | aa |  1  |   3413  | 55 |
| 60   | aa |  1  |   3413  | aa |
| 60+  | aa |  0  |   1365  | 55 |
| 61   | aa |  0  |   1365  | 55 |
| 61   | aa |  0  |   3413  | aa |
| 61   | aa |  0  |   5461  | 55 |
| 61   | aa |  0  |   7509  | 55 |
| 61   | aa |  0  |   9557  | 55 |
| 61   | aa |  0  |  11605  | 55 |
| 61   | aa |  0  |  13653  | 55 |
| 61   | aa |  0  |  15701  | 55 |
| 61+  | 55 |  1  |   3413  | aa |
| 62   | 55 |  1  |   3413  | 55 |
| 62+  | aa |  1  |   5461  | 55 |
| 63   | aa |  1  |   5461  | aa |
| 63+  | aa |  0  |   1365  | 55 |
| 64   | aa |  0  |   1365  | 55 |
| 64   | aa |  0  |   3413  | 55 |
| 64   | aa |  0  |   5461  | aa |
| 64   | aa |  0  |   7509  | 55 |
| 64   | aa |  0  |   9557  | 55 |
| 64   | aa |  0  |  11605  | 55 |
| 64   | aa |  0  |  13653  | 55 |
| 64   | aa |  0  |  15701  | 55 |
| 64+  | 55 |  1  |   5461  | aa |
| 65   | 55 |  1  |   5461  | 55 |
| 65+  | aa |  1  |   7509  | 55 |
| 66   | aa |  1  |   7509  | aa |
| 66+  | aa |  0  |   1365  | 55 |
| 67   | aa |  0  |   1365  | 55 |
| 67   | aa |  0  |   3413  | 55 |
| 67   | aa |  0  |   5461  | 55 |
| 67   | aa |  0  |   7509  | aa |
| 67   | aa |  0  |   9557  | 55 |
| 67   | aa |  0  |  11605  | 55 |
| 67   | aa |  0  |  13653  | 55 |
| 67   | aa |  0  |  15701  | 55 |
| 67+  | 55 |  1  |   7509  | aa |
| 68   | 55 |  1  |   7509  | 55 |
| 68+  | aa |  1  |   9557  | 55 |
| 69   | aa |  1  |   9557  | aa |
| 69+  | aa |  0  |   1365  | 55 |
| 70   | aa |  0  |   1365  | 55 |
| 70   | aa |  0  |   3413  | 55 |
| 70   | aa |  0  |   5461  | 55 |
| 70   | aa |  0  |   7509  | 55 |
| 70   | aa |  0  |   9557  | aa |
| 70   | aa |  0  |  11605  | 55 |
| 70   | aa |  0  |  13653  | 55 |
| 70   | aa |  0  |  15701  | 55 |
| 70+  | 55 |  1  |   9557  | aa |
| 71   | 55 |  1  |   9557  | 55 |
| 71+  | aa |  1  |  11605  | 55 |
| 72   | aa |  1  |  11605  | aa |
| 72+  | aa |  0  |   1365  | 55 |
| 73   | aa |  0  |   1365  | 55 |
| 73   | aa |  0  |   3413  | 55 |
| 73   | aa |  0  |   5461  | 55 |
| 73   | aa |  0  |   7509  | 55 |
| 73   | aa |  0  |   9557  | 55 |
| 73   | aa |  0  |  11605  | aa |
| 73   | aa |  0  |  13653  | 55 |
| 73   | aa |  0  |  15701  | 55 |
| 73+  | 55 |  1  |  11605  | aa |
| 74   | 55 |  1  |  11605  | 55 |
| 74+  | aa |  1  |  13653  | 55 |
| 75   | aa |  1  |  13653  | aa |
| 75+  | aa |  0  |   1365  | 55 |
| 76   | aa |  0  |   1365  | 55 |
| 76   | aa |  0  |   3413  | 55 |
| 76   | aa |  0  |   5461  | 55 |
| 76   | aa |  0  |   7509  | 55 |
| 76   | aa |  0  |   9557  | 55 |
| 76   | aa |  0  |  11605  | 55 |
| 76   | aa |  0  |  13653  | aa |
| 76   | aa |  0  |  15701  | 55 |
| 76+  | 55 |  1  |  13653  | aa |
| 77   | 55 |  1  |  13653  | 55 |
| 77+  | aa |  1  |  15701  | 55 |
| 78   | aa |  1  |  15701  | aa |
| 78+  | aa |  0  |   1365  | 55 |
| 79   | aa |  0  |   1365  | 55 |
| 79   | aa |  0  |   3413  | 55 |
| 79   | aa |  0  |   5461  | 55 |
| 79   | aa |  0  |   7509  | 55 |
| 79   | aa |  0  |   9557  | 55 |
| 79   | aa |  0  |  11605  | 55 |
| 79   | aa |  0  |  13653  | 55 |
| 79   | aa |  0  |  15701  | aa |
| 79+  | 55 |  1  |  15701  | aa |
| 80   | 55 |  1  |  15701  | 55 |
| 80+  | 55 |  0  |   1365  | 55 |
| 81   | 55 |  0  |   1365  | 55 |
| 81   | 55 |  0  |   3413  | 55 |
| 81   | 55 |  0  |   5461  | 55 |
| 81   | 55 |  0  |   7509  | 55 |
| 81   | 55 |  0  |   9557  | 55 |
| 81   | 55 |  0  |  11605  | 55 |
| 81   | 55 |  0  |  13653  | 55 |
| 81   | 55 |  0  |  15701  | 55 |
